evaluation_stage,year,top_n,round_trip_cost_rate,observations,gross_final_return,net_final_return,vnindex_final_return,equal_weight_30_final_return,excess_vs_vnindex,excess_vs_equal_weight_30,sharpe_annualized,max_drawdown,max_drawdown_method,positive_period_rate
walk_forward_validation,2021,2,0.004,11,0.4817711518916932,0.41979682480558544,0.19272373887337713,0.10642626644406983,0.22707308593220832,0.3133705583615156,1.2153817575306733,-0.07301522418292605,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,2,0.006,11,0.4817711518916932,0.3897011343116239,0.19272373887337713,0.08251689226128756,0.19697739543824677,0.30718424205033634,1.1500751232437476,-0.07501522418292605,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,3,0.0,11,0.3795540884866344,0.3795540884866344,0.19272373887337713,0.15569061770407888,0.18683034961325728,0.22386347078255553,1.4644474476952376,-0.04152656388673748,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,3,0.002,11,0.3795540884866344,0.350295412600409,0.19272373887337713,0.13081463588491515,0.15757167372703185,0.21948077671549382,1.3735642705272477,-0.04734834567217172,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,3,0.004,11,0.3795540884866344,0.3216017083639888,0.19272373887337713,0.10642626644406983,0.1288779694906117,0.215175441919919,1.2826810933592574,-0.05314650881737559,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,3,0.006,11,0.3795540884866344,0.2934631427421692,0.19272373887337713,0.08251689226128756,0.1007394038687921,0.21094625048088167,1.1917979161912673,-0.05892110132234929,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,5,0.0,11,0.3717307609136804,0.3717307609136804,0.19272373887337713,0.15569061770407888,0.17900702204030328,0.21604014320960152,1.581522392744703,-0.08059752055194347,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,5,0.002,11,0.3717307609136804,0.34263273773804714,0.19272373887337713,0.13081463588491515,0.14990899886467002,0.211818101853132,1.4803716901652986,-0.08442937508822412,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,5,0.004,11,0.3717307609136804,0.3140967156618224,0.19272373887337713,0.10642626644406983,0.12137297678844527,0.20767044921775257,1.3792209875858945,-0.08934698983544043,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2021,5,0.006,11,0.3717307609136804,0.28611291050254395,0.19272373887337713,0.08251689226128756,0.09338917162916682,0.2035960182412564,1.27807028500649,-0.09497412858382559,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2021,8,0.0,11,0.34272032220917814,0.34272032220917814,0.19272373887337713,0.15569061770407888,0.14999658333580101,0.18702970450509926,1.7159924107461895,-0.07848098168491613,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2021,8,0.002,11,0.34272032220917814,0.31419697404327884,0.19272373887337713,0.13081463588491515,0.12147323516990172,0.1833823381583637,1.596446313577346,-0.08305315733276297,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2021,8,0.004,11,0.34272032220917814,0.2862253663402172,0.19272373887337713,0.10642626644406983,0.0935016274668401,0.1797990998961474,1.4769002164085026,-0.0887063524215298,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2021,8,0.006,11,0.34272032220917814,0.25879587800364745,0.19272373887337713,0.08251689226128756,0.06607213913027032,0.1762789857423599,1.3573541192396592,-0.09433627169806369,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2021,10,0.0,11,0.24136154334019744,0.24136154334019744,0.19272373887337713,0.15569061770407888,0.04863780446682031,0.08567092563611856,1.3637754605333192,-0.08266559890904468,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2021,10,0.002,11,0.24136154334019744,0.21480865905926416,0.19272373887337713,0.13081463588491515,0.022084920185887036,0.08399402317434901,1.235218103795408,-0.08832020926856399,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2021,10,0.004,11,0.24136154334019744,0.18877298051418,0.19272373887337713,0.10642626644406983,-0.003950758359197115,0.08234671407011018,1.1066607470574967,-0.09395154128775274,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2021,10,0.006,11,0.24136154334019744,0.1632454255358744,0.19272373887337713,0.08251689226128756,-0.029478313337502726,0.08072853327458684,0.9781033903195857,-0.09955964296661102,period_end_equity_curve,0.5454545454545454
