evaluation_stage,year,top_n,round_trip_cost_rate,observations,gross_final_return,net_final_return,vnindex_final_return,equal_weight_30_final_return,excess_vs_vnindex,excess_vs_equal_weight_30,sharpe_annualized,max_drawdown,max_drawdown_method,positive_period_rate
walk_forward_validation,2022,3,0.0,11,-0.3530311094247166,-0.3530311094247166,-0.25057160554465907,-0.1686164128532095,-0.10245950388005753,-0.1844146965715071,-0.8240801588032364,-0.45518116598269565,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,3,0.002,11,-0.3530311094247166,-0.36781292864705517,-0.25057160554465907,-0.18709837581836963,-0.1172413231023961,-0.18071455282868554,-0.8779931355654172,-0.4656653880978763,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,3,0.004,11,-0.3530311094247166,-0.3822876133254619,-0.25057160554465907,-0.2052063643499702,-0.13171600778080284,-0.1770812489754917,-0.9319061123275979,-0.47597024069330673,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,3,0.006,11,-0.3530311094247166,-0.3964609088930676,-0.25057160554465907,-0.2229471974821149,-0.14588930334840855,-0.17351371141095273,-0.9858190890897784,-0.48609840940520965,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,5,0.0,11,-0.20938067818671713,-0.20938067818671713,-0.25057160554465907,-0.1686164128532095,0.04119092735794194,-0.04076426533350763,-0.38900396451554026,-0.36358828300019486,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,5,0.002,11,-0.20938067818671713,-0.22710636800977735,-0.25057160554465907,-0.18709837581836963,0.023465237534881722,-0.040007992191407715,-0.44571162146730625,-0.37561135054140216,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,5,0.004,11,-0.20938067818671713,-0.24447061830513128,-0.25057160554465907,-0.2052063643499702,0.006100987239527789,-0.03926425395516109,-0.5024192784190723,-0.3874324375107254,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,5,0.006,11,-0.20938067818671713,-0.26148006512628963,-0.25057160554465907,-0.2229471974821149,-0.010908459581630559,-0.03853286764417474,-0.5591269353708382,-0.39905451418754856,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,10,0.0,11,-0.20029198448622754,-0.20029198448622754,-0.25057160554465907,-0.1686164128532095,0.050279621058431534,-0.03167557163301804,-0.4678263473322958,-0.33008937414032724,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,10,0.002,11,-0.20029198448622754,-0.21816790548781828,-0.25057160554465907,-0.18709837581836963,0.03240370005684079,-0.031069529669448648,-0.5324786162157346,-0.3426570269758036,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,10,0.004,11,-0.20029198448622754,-0.23568025574936868,-0.25057160554465907,-0.2052063643499702,0.014891349795290387,-0.03047389139939849,-0.597130885099173,-0.35501493960161634,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,10,0.006,11,-0.20029198448622754,-0.2528356961314282,-0.25057160554465907,-0.2229471974821149,-0.0022640905867691297,-0.02988849864931331,-0.6617831539826117,-0.36716617722693234,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2023,3,0.0,11,0.07889824486460806,0.07889824486460806,0.027096046867038925,0.02128893631206874,0.05180219799756913,0.05760930855253932,0.4710287568738173,-0.21901743194061785,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,3,0.002,11,0.07889824486460806,0.05550786502250471,0.027096046867038925,-0.0009362789863444076,0.028411818155465784,0.05644414400884912,0.3673076963260668,-0.22409671093140482,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,3,0.004,11,0.07889824486460806,0.03257919505953044,0.027096046867038925,-0.022721016864266974,0.005483148192491516,0.055300211923797415,0.26358663577831654,-0.22915392770540288,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,3,0.006,11,0.07889824486460806,0.010104019868344194,0.027096046867038925,-0.04407314811966101,-0.01699202699869473,0.054177167988005204,0.15986557523056605,-0.23418913026261146,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,5,0.0,11,0.06195122952038479,0.06195122952038479,0.027096046867038925,0.02128893631206874,0.03485518265334586,0.04066229320831605,0.4077051515783414,-0.21383370896981135,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,5,0.002,11,0.06195122952038479,0.0389017974947925,0.027096046867038925,-0.0009362789863444076,0.011805750627753575,0.03983807648113691,0.2969943084307889,-0.21893464838226584,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,5,0.004,11,0.06195122952038479,0.0163078955147804,0.027096046867038925,-0.022721016864266974,-0.010788151352258524,0.039028912379047376,0.18628346528323628,-0.2240134803178273,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,5,0.006,11,0.06195122952038479,-0.005838591854422148,0.027096046867038925,-0.04407314811966101,-0.032934638721461074,0.03823455626523886,0.07557262213568385,-0.22907025277649573,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2023,10,0.0,11,0.08510073447800703,0.08510073447800703,0.027096046867038925,0.02128893631206874,0.05800468761096811,0.0638117981659383,0.5543744712655796,-0.17688661867032274,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2023,10,0.002,11,0.08510073447800703,0.06160202679985716,0.027096046867038925,-0.0009362789863444076,0.03450597993281823,0.06253830578620156,0.43113909351331997,-0.18215048023914882,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2023,10,0.004,11,0.08510073447800703,0.03856670501527404,0.027096046867038925,-0.022721016864266974,0.011470658148235113,0.06128772187954101,0.3079037157610603,-0.18739187434032267,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2023,10,0.006,11,0.08510073447800703,0.01598653145857809,0.027096046867038925,-0.04407314811966101,-0.011109515408460835,0.0600596795782391,0.184668338008801,-0.19261084897384462,period_end_equity_curve,0.5454545454545454
walk_forward_validation,2024,3,0.0,11,0.1366924287953981,0.1366924287953981,0.08008944211980507,0.11964329038609356,0.05660298667559305,0.017049138409304554,0.9357213716092543,-0.1095107692760845,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2024,3,0.002,11,0.1366924287953981,0.112191906298313,0.08008944211980507,0.09548460689555016,0.03210246417850793,0.016707299402762832,0.7892773849719359,-0.11859206533251665,period_end_equity_curve,0.6363636363636364
