time,symbol,open,high,low,close,volume
2023-03-13,VNINDEX,1046.95,1055.58,1045.46,1052.8,505863805
2023-03-14,VNINDEX,1049.3,1051.56,1034.72,1040.13,535172436
2023-03-15,VNINDEX,1052.06,1062.55,1049.26,1062.19,534049436
2023-03-16,VNINDEX,1056.15,1058.73,1043.65,1047.4,450886053
2023-03-17,VNINDEX,1053.37,1055.42,1043.54,1045.14,478768177
2023-03-20,VNINDEX,1041.91,1042.6,1022.71,1023.1,458008396
2023-03-21,VNINDEX,1028.83,1036.15,1017.05,1032.43,369349957
2023-03-22,VNINDEX,1035.84,1042.84,1033.73,1040.54,368600650
2023-03-23,VNINDEX,1035.33,1045.1,1030.93,1045.1,359367516
2023-03-24,VNINDEX,1047.1,1052.29,1044.02,1046.79,492024379
2023-03-27,VNINDEX,1047.78,1053.78,1041.99,1052.25,499268427
2023-03-28,VNINDEX,1055.57,1059.83,1051.75,1054.29,569426119
2023-03-29,VNINDEX,1055.18,1056.33,1048.26,1056.33,406337846
2023-03-30,VNINDEX,1061.32,1066.23,1058.89,1059.44,545987403
2023-03-31,VNINDEX,1060.0,1067.55,1059.85,1064.64,563211648
2023-04-03,VNINDEX,1074.69,1079.28,1071.62,1079.28,761882248
2023-04-04,VNINDEX,1081.36,1082.21,1075.1,1078.45,732795030
2023-04-05,VNINDEX,1079.06,1080.86,1074.1,1080.86,696512807
2023-04-06,VNINDEX,1083.27,1084.52,1070.91,1070.91,942408869
2023-04-07,VNINDEX,1071.09,1072.94,1063.7,1069.71,592943658
2023-04-10,VNINDEX,1073.86,1075.54,1063.45,1065.35,774551045
2023-04-11,VNINDEX,1063.64,1070.56,1056.9,1069.46,634178633
2023-04-12,VNINDEX,1071.61,1072.7,1066.43,1069.45,653032406
2023-04-13,VNINDEX,1070.96,1070.96,1062.26,1064.3,587279674
2023-04-14,VNINDEX,1067.21,1068.79,1052.89,1052.89,714026518
2023-04-17,VNINDEX,1052.99,1054.72,1049.11,1053.81,399822299
2023-04-18,VNINDEX,1055.85,1057.15,1050.89,1055.02,486767389
2023-04-19,VNINDEX,1057.88,1058.14,1047.47,1048.98,485131148
2023-04-20,VNINDEX,1050.02,1051.86,1045.85,1049.25,324438225
2023-04-21,VNINDEX,1050.1,1050.4,1041.26,1042.91,506699323
2023-04-24,VNINDEX,1045.28,1047.18,1038.36,1041.36,439489141
2023-04-25,VNINDEX,1045.87,1045.87,1032.49,1034.85,477297616
2023-04-26,VNINDEX,1034.02,1040.8,1029.19,1040.8,421775639
2023-04-27,VNINDEX,1041.39,1044.25,1037.62,1039.63,456952522
2023-04-28,VNINDEX,1043.17,1049.12,1042.04,1049.12,565502199
2023-05-04,VNINDEX,1046.05,1048.16,1038.18,1040.61,562692030
2023-05-05,VNINDEX,1040.12,1043.22,1036.69,1040.31,433301354
2023-05-08,VNINDEX,1043.44,1053.44,1043.44,1053.44,584061271
2023-05-09,VNINDEX,1055.42,1058.71,1052.68,1053.77,494560113
2023-05-10,VNINDEX,1055.62,1058.67,1053.34,1058.26,642043890
2023-05-11,VNINDEX,1060.75,1063.69,1056.72,1057.12,669387113
2023-05-12,VNINDEX,1057.7,1066.9,1053.97,1066.9,675214868
2023-05-15,VNINDEX,1074.82,1076.32,1065.71,1065.71,762161980
2023-05-16,VNINDEX,1068.51,1069.27,1063.65,1065.91,582357907
2023-05-17,VNINDEX,1066.27,1069.95,1060.44,1060.44,743431551
2023-05-18,VNINDEX,1063.66,1073.41,1060.94,1068.31,578415860
2023-05-19,VNINDEX,1070.13,1070.15,1058.56,1067.07,649620819
2023-05-22,VNINDEX,1067.32,1070.64,1065.88,1070.64,623716964
2023-05-23,VNINDEX,1073.12,1073.96,1062.15,1065.85,653341933
2023-05-24,VNINDEX,1069.13,1069.61,1060.6,1061.79,671873653
2023-05-25,VNINDEX,1062.03,1065.5,1057.91,1064.63,603883481
2023-05-26,VNINDEX,1067.24,1067.28,1063.76,1063.76,585687066
2023-05-29,VNINDEX,1067.34,1077.18,1067.27,1074.98,726721589
2023-05-30,VNINDEX,1078.82,1079.31,1071.01,1078.05,803342265
2023-05-31,VNINDEX,1078.39,1079.11,1071.38,1075.17,848883278
2023-06-01,VNINDEX,1076.27,1078.39,1071.61,1078.39,800986902
2023-06-02,VNINDEX,1084.19,1092.24,1083.36,1090.84,949003221
2023-06-05,VNINDEX,1100.2,1103.81,1096.76,1097.82,877700529
2023-06-06,VNINDEX,1099.99,1108.31,1098.28,1108.31,767663752
2023-06-07,VNINDEX,1111.67,1112.28,1104.26,1109.54,909508073
2023-06-08,VNINDEX,1111.86,1115.14,1101.32,1101.32,1191167261
2023-06-09,VNINDEX,1103.11,1107.53,1097.23,1107.53,826887389
2023-06-12,VNINDEX,1110.26,1116.02,1100.08,1116.02,712022071
2023-06-13,VNINDEX,1117.43,1122.46,1116.1,1122.46,857714144
2023-06-14,VNINDEX,1124.56,1129.49,1117.42,1117.42,829498595
2023-06-15,VNINDEX,1117.06,1120.13,1112.11,1116.97,663782466
2023-06-16,VNINDEX,1121.92,1128.92,1112.51,1115.22,1054947020
2023-06-19,VNINDEX,1115.68,1117.23,1104.73,1105.4,709208551
2023-06-20,VNINDEX,1105.75,1111.72,1102.58,1111.72,579184745
2023-06-21,VNINDEX,1112.73,1118.46,1110.65,1118.46,778113811
2023-06-22,VNINDEX,1126.21,1127.54,1122.27,1125.3,807623528
2023-06-23,VNINDEX,1126.4,1130.61,1122.62,1129.38,829820153
2023-06-26,VNINDEX,1130.08,1134.0,1119.95,1132.03,926624935
2023-06-27,VNINDEX,1134.55,1136.49,1128.82,1134.33,619564674
2023-06-28,VNINDEX,1137.18,1140.56,1131.86,1138.35,751202539
2023-06-29,VNINDEX,1139.42,1140.43,1125.39,1125.39,813877038
2023-06-30,VNINDEX,1124.3,1126.33,1120.01,1120.18,520965834
2023-07-03,VNINDEX,1125.55,1128.35,1121.17,1125.5,482330417
2023-07-04,VNINDEX,1127.11,1132.12,1123.49,1132.0,621589939
2023-07-05,VNINDEX,1136.64,1138.67,1133.45,1134.62,714171068
2023-07-06,VNINDEX,1133.7,1135.81,1122.35,1126.22,842931087
2023-07-07,VNINDEX,1124.98,1138.07,1122.94,1138.07,690911706
2023-07-10,VNINDEX,1142.61,1149.02,1140.03,1149.02,781792879
2023-07-11,VNINDEX,1151.13,1157.01,1149.69,1151.77,816539478
2023-07-12,VNINDEX,1154.37,1157.43,1149.28,1154.2,662915644
2023-07-13,VNINDEX,1159.88,1165.42,1158.15,1165.42,738388049
2023-07-14,VNINDEX,1169.2,1169.84,1156.28,1168.4,940146669
2023-07-17,VNINDEX,1171.75,1174.89,1168.77,1173.13,823237013
2023-07-18,VNINDEX,1173.23,1175.7,1170.04,1174.09,729194875
2023-07-19,VNINDEX,1177.5,1178.55,1172.98,1172.98,776854252
2023-07-20,VNINDEX,1171.83,1174.39,1166.62,1172.81,713194602
2023-07-21,VNINDEX,1173.21,1185.9,1172.07,1185.9,872012954
2023-07-24,VNINDEX,1190.74,1193.22,1183.39,1190.72,960584502
2023-07-25,VNINDEX,1194.45,1199.27,1193.34,1195.9,884463624
